53	51	52	28	54	68	57	86	56	88	6	8	29	55	7	62	31	89	87	66	81	30	79	58	73	70	74	77	12	60	
40	38	86	41	87	79	50	39	89	49	42	55	88	37	54	36	81	48	43	53	75	31	80	27	47	4	33	32	6	44	
87	86	79	89	40	38	50	81	88	41	80	75	76	31	49	48	47	83	36	27	37	74	55	43	85	30	84	42	39	32	
69	70	68	72	66	57	56	63	73	53	62	67	71	7	5	6	55	12	58	64	54	60	51	8	59	10	81	13	1	65	
43	80	79	81	48	45	42	85	47	44	10	50	83	41	46	39	84	86	12	82	40	38	6	31	32	87	33	37	49	88	
15	19	18	20	16	17	21	26	25	14	9	27	24	22	29	12	0	4	31	28	30	33	23	10	3	13	59	61	2	54	
14	12	19	9	15	10	21	11	29	6	20	4	33	0	25	13	27	31	28	8	73	16	26	61	60	5	70	30	18	24	
36	3	35	37	34	2	44	16	4	40	39	43	26	76	45	75	17	46	50	1	47	42	0	41	49	25	74	80	22	38	
52	55	54	7	57	56	28	8	53	51	13	5	61	6	60	63	59	89	88	14	9	68	86	77	79	29	12	87	62	70	
4	3	16	2	9	27	39	32	15	26	44	43	10	12	33	40	38	75	0	41	61	42	19	21	14	11	36	60	17	22	
14	9	15	12	29	33	10	13	19	6	11	8	21	16	31	20	28	4	25	7	24	32	26	22	5	0	27	18	63	30	
36	2	37	74	35	76	3	4	75	34	40	39	26	49	44	25	87	50	88	16	1	84	86	85	89	38	47	17	43	30	
11	10	9	61	5	60	14	59	56	12	6	58	8	57	83	28	29	69	70	82	7	19	33	55	42	13	64	51	73	72	
54	59	64	72	58	55	68	53	57	51	56	60	67	12	52	73	81	61	70	9	7	10	63	6	66	62	65	69	80	8	
55	54	57	28	7	52	56	59	8	51	60	53	64	29	9	14	61	68	63	5	13	6	88	62	58	12	89	1	30	11	
16	3	33	39	15	26	2	32	4	17	9	22	40	42	27	36	14	25	43	10	19	44	24	41	0	29	30	18	38	31	
22	24	26	31	23	81	48	45	80	82	21	85	27	47	44	25	46	12	30	43	32	88	75	16	89	50	83	79	2	49	
13	7	8	12	5	14	63	62	6	29	70	9	28	10	31	11	69	22	72	57	64	32	56	24	68	81	73	15	71	19	
6	53	54	8	86	57	29	14	28	9	7	10	12	38	55	4	51	59	31	79	39	33	68	27	87	52	56	40	5	81	
56	57	5	7	69	63	55	8	6	70	68	12	62	54	59	77	58	72	9	13	64	60	11	52	10	53	51	14	28	61	
1	62	63	66	71	0	68	70	67	64	13	65	73	8	7	69	14	72	4	56	57	52	12	54	28	5	51	29	55	6	
69	5	56	11	70	58	63	57	6	60	8	59	66	7	68	61	55	10	72	9	73	14	12	64	13	1	52	62	0	77	
71	62	65	66	67	63	64	1	68	0	73	70	72	13	8	69	14	7	18	12	54	19	20	56	57	15	4	55	21	52	
16	3	26	17	2	4	36	27	25	40	38	15	39	34	22	0	44	37	75	35	41	21	24	18	19	32	43	1	30	49	
